Course Name,Course Type,Course Status,Country/Territory,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Course Hours,Year,Participants,Main Domain
MS eAccent Bootcamp,Classroom,Cancelled,France,Discretionary,Accenture - Classroom,Central,-,Classroom,0.0,2021,57.0,Cross Accenture
MS eAccent Bootcamp,Classroom,Cancelled,France,Discretionary,Accenture - Classroom,Central,-,Classroom,0.0,2021,57.0,Cross Accenture
MS eAccent Bootcamp,Classroom,Cancelled,France,Discretionary,Accenture - Classroom,Central,-,Classroom,0.0,2022,77.0,Cross Accenture
MS eAccent Bootcamp,Classroom,Cancelled,France,Discretionary,Accenture - Classroom,Central,-,Classroom,0.0,2022,77.0,Cross Accenture
MS eAccent Bootcamp,Classroom,Cancelled,Mauritius,Discretionary,Accenture - Classroom,Central,-,Classroom,0.0,2020,1.0,Cross Accenture
MS eAccent Bootcamp,Classroom,Cancelled,Mauritius,Discretionary,Accenture - Classroom,Central,-,Classroom,0.0,2020,1.0,Cross Accenture
Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,35.0,2019,7.0,IPS
Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,35.0,2019,7.0,IPS
Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,35.0,2020,34.0,IPS
Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,35.0,2020,34.0,IPS
Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,35.0,2021,40.0,IPS
Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,35.0,2021,40.0,IPS
TOULOUSE ONLY - SAP PP,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,Live Meeting,Classroom,2.0,2020,8.0,IPS
MD Momentum – Year 2,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,27.0,2021,25.0,Leadership Development
TOULOUSE ONLY - SAP MM,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,4.0,IPS
TOULOUSE ONLY - SAP Closure,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2020,8.0,IPS
Digital LDP - Virtual,Classroom,Cancelled,France,Discretionary,Hyper Island,Central,MS Teams,Virtual,16.0,2020,6.0,IPS
Leader as Coach Virtual Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,12.0,2021,122.0,Leadership Development
Leader as Coach Virtual Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,12.0,2021,122.0,Leadership Development
Rainmakers Wave 1: Cloud First Strategy (Live),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,6.0,2021,27.0,Cloud First
Rainmakers Wave 1: Cloud First Strategy (Live),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,6.0,2021,27.0,Cloud First
SAP Delivering SuccessFactors in the New Master Class (Virtual),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2020,3.0,IPS
SAP Delivering SuccessFactors in the New Master Class (Virtual),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,8.0,2020,3.0,IPS
SAP Delivering SuccessFactors in the New Master Class (Virtual),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,9.0,2021,7.0,IPS
SAP Delivering SuccessFactors in the New Master Class (Virtual),Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,9.0,2021,7.0,IPS
Durabilité et résilience : quels enjeux ?,Classroom,Active,France,Discretionary,The Camp,Local,MS Teams,Virtual,3.0,2020,876.0,Sustainability
Durabilité et résilience : quels enjeux ?,Classroom,Active,France,Discretionary,The Camp,Local,MS Teams,Virtual,3.0,2020,876.0,Sustainability
Durabilité et résilience : quels enjeux ?,Classroom,Active,France,Discretionary,The Camp,Local,MS Teams,Virtual,3.0,2021,1442.0,Sustainability
Durabilité et résilience : quels enjeux ?,Classroom,Active,France,Discretionary,The Camp,Local,MS Teams,Virtual,3.0,2021,1442.0,Sustainability
Durabilité et résilience : quels enjeux ?,Classroom,Active,France,Discretionary,The Camp,Local,MS Teams,Virtual,3.0,2022,1670.0,Sustainability
Durabilité et résilience : quels enjeux ?,Classroom,Active,France,Discretionary,The Camp,Local,MS Teams,Virtual,3.0,2022,1670.0,Sustainability
VMware Cloud on AWS: Deploy and Manage,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,24.0,2020,5.0,Cloud First
CDTS Deal ready Program,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,80.0,2020,3.0,Cross Accenture
VIRTUAL: NTATC - Méthodologies de tests fonctionnels - tous les concepts,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,16.0,IPS
VIRTUAL: NTATC - Méthodologies de tests fonctionnels - tous les concepts,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2021,16.0,IPS
VIRTUAL: NTATC - Méthodologies de tests fonctionnels - tous les concepts,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2022,18.0,IPS
VIRTUAL: NTATC - Méthodologies de tests fonctionnels - tous les concepts,Classroom,Active,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,2.0,2022,18.0,IPS
Myconcerto,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2020,19.0,Cross Accenture
Climate Fresk,Classroom,Active,France,Discretionary,Climate Collage,Local,MS Teams,Virtual,3.0,2021,135.0,Sustainability
Climate Fresk,Classroom,Active,France,Discretionary,Climate Collage,Local,MS Teams,Virtual,3.0,2021,135.0,Sustainability
Accenture Led - HCM Services Practical,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,40.0,2020,1.0,Cross Accenture
Accenture Led - HCM Services Practical,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,40.0,2020,1.0,Cross Accenture
Accenture Led - HCM Services Practical,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,40.0,2021,3.0,Cross Accenture
Accenture Led - HCM Services Practical,Classroom,Active,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,40.0,2021,3.0,Cross Accenture
GLN - CORE - Deals Review,Classroom,Cancelled,France,Discretionary,Accenture Central,Central,MS Teams,Virtual,1.5,2020,2.0,Core Curriculum
Preparation Certification SAC (Virtual) - SAP Analytics Cloud,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2020,9.0,Cloud First
Salesforce Commerce Cloud,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,16.0,2020,6.0,Cloud First
Virtuel - Urgence écologique : comment s'engager à travers son emploi ?,Classroom,Cancelled,France,Discretionary,Mouvement Up,Local,MS Teams,Virtual,1.0,2020,26.0,Sustainability
Bootcamp SAP S/4 Central Finance (Virtual),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2020,19.0,IPS
Bootcamp SAP CX – Field Service Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2020,6.0,IPS
Bootcamp SAP CX – Field Service Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2020,6.0,IPS
Bootcamp SAP CX – Field Service Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2021,10.0,IPS
Bootcamp SAP CX – Field Service Management,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,24.0,2021,10.0,IPS
Preparation Certification SAP BW/4 Hana (Virtual),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2021,3.0,IPS
Preparation Certification SAP BW/4 Hana (Virtual),Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,8.0,2021,3.0,IPS
ACE+ Sandbox Walkthrough,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,1.5,2020,39.0,Cross Accenture
Bootcamp EWM,Classroom,Cancelled,France,Discretionary,Accenture Local,Local,MS Teams,Virtual,21.0,2020,14.0,Cross Accenture
